nom,dose_par_defaut,id_unite_par_defaut,description,photo_url,prix,date_ajout,type_utilisation,mode_administration,moment_repas,precaution_alimentaire
Paracetamol 500,500,1,Antalgique et antipyrétique de référence,,1200,2026-03-01 08:00:00,comprime,orale,apres_repas,aucune
Ibuprofene 400,400,1,Anti-inflammatoire non stéroïdien,,1800,2026-03-02 09:00:00,comprime,orale,pendant_repas,eviter_alcool
Amoxicilline 1g,1000,1,Antibiotique de la famille des pénicillines,,2500,2026-03-03 10:00:00,gelule,orale,apres_repas,aucune
Azithromycine 500,500,1,Antibiotique à prise courte,,3200,2026-03-04 11:00:00,comprime,orale,a_jeun,eviter_alcool
Vitamine C sirop,10,2,Complément vitaminique pour fatigue passagère,,2100,2026-03-05 12:00:00,sirop,buvable,indifferent,aucune
Metformine 850,850,1,Traitement du diabète de type 2,,2900,2026-03-06 08:30:00,comprime,orale,pendant_repas,boire_beaucoup_eau
Amlodipine 5,5,1,Antihypertenseur quotidien,,2700,2026-03-07 07:30:00,comprime,orale,indifferent,aucune
Omeprazole 20,20,1,Inhibiteur de la pompe à protons,,2600,2026-03-08 06:30:00,gelule,orale,a_jeun,aucune
Cetirizine 10,10,1,Antihistaminique contre les allergies,,1700,2026-03-09 19:30:00,comprime,orale,indifferent,aucune
Diclofenac gel,2,1,Gel anti-douleur pour usage local,,3500,2026-03-10 15:00:00,pommade,cutanee,indifferent,aucune
